地区,2009,2010,2011,2012,2013,2014,2015,2016,2017
北京市,,2,3,2,5,,2,2,
天津市,,,,,,,,,
河北省,2,6,3,6,4,,2,4,1
山西省,2,1,4,2,4,,,,1
内蒙古,12,14,5,1,,,1,,4
辽宁省,11,11,4,32,4,,3,3,
吉林省,2,9,1,1,4,,3,,
黑龙江省,2,1,,,,,,1,
上海市,,,,,,,,,
江苏省,5,1,1,3,2,,2,5,
浙江省,,4,4,5,2,,,,
安徽省,13,15,7,10,3,,13,4,1
福建省,2,5,,4,,,,,
江西省,18,34,26,29,24,,24,16,17
山东省,20,27,11,11,10,,16,12,4
河南省,21,17,26,26,25,,22,18,11
湖北省,29,32,39,35,30,,14,46,15
湖南省,54,98,78,56,43,,50,55,73
广东省,26,18,18,20,42,,12,5,11
广西,39,53,56,49,47,,100,43,52
海南省,,3,2,,,,1,,
重庆市,11,13,11,10,24,,3,3,8
四川省,17,18,15,11,9,,,2,
贵州省,14,54,9,10,9,,4,1,3
云南省,10,11,4,33,9,,15,1,2
西藏,2,7,,,,,,,
陕西省,10,18,53,2,12,,1,2,1
甘肃省,3,5,5,5,69,,3,1,1
青海省,,,,,,,,1,
宁夏,1,,1,,3,,,,
新疆,,1,,1,1,,1,,1
