地区,2009,2010,2011,2012,2013,2014,2015,2016,2017
北京市,17.76,18.9,21.16,26.49,18.74,15.96,20.6,24.2,20.4
天津市,5.6,4.5,5.23,7.62,5.01,3.67,4.9,6.1,5.5
河北省,122.7,112.9,126.21,164.84,138.82,89.29,113.6,133.7,116.3
山西省,76.15,77.4,94.95,88.34,96.87,97.26,86.4,104.9,104.1
内蒙古,214.35,227.6,213.37,258.38,249.33,236.26,224.6,248.2,207.3
辽宁省,87.61,146.8,111.9,147.36,139.38,82.29,83.2,120.9,86.6
吉林省,97.25,141.9,112.91,146.98,160.2,120.18,127.4,154.7,133.3
黑龙江省,313.45,277.9,237.24,289.81,381.51,295.41,283,285.9,273.2
上海市,9.92,8.9,7.43,9.74,8.21,10.02,11.7,11.3,9.2
江苏省,110.8,108.9,115.13,110.17,97.2,118.89,142.4,164,114.5
浙江省,208.01,264.7,184.15,273.47,207.33,231.75,269.8,255.5,204.3
安徽省,185.43,197.8,143.52,159.33,144.5,178.91,193.7,219.3,201
福建省,244.65,353.8,243.41,349.28,337.56,330.48,332.3,450.7,287.5
江西省,312.89,486.8,315.23,462.28,378.37,397.23,465,501.9,379.5
山东省,180.71,181.2,195.92,164.24,172.32,116.86,133.1,164.8,151.1
河南省,188.05,214.7,191.8,161.82,147.12,166.84,173.1,190.2,206.5
湖北省,263.45,306.1,251.91,262.77,251.31,282,279.6,313.6,319
湖南省,351.74,430,279.85,417.92,382.11,434.1,432.4,475.4,436.8
广东省,407.64,478.3,362.14,485.79,532.54,420.53,461.4,570,440.7
广西,256.84,355.8,271.21,587.34,478.12,402.97,467.3,529.2,446.6
海南省,106.3,105.7,111.62,92.61,119.54,96.7,50.6,118.3,96.8
重庆市,81.86,96.3,98.31,97.79,96.39,121.82,103.3,112.3,116.1
四川省,579.99,595,578.2,614.91,607.5,606.24,584,593.3,607.5
贵州省,248.97,251.4,216.61,253.32,235.63,294.43,282.2,251.3,260.8
云南省,582.64,686,548.06,583.22,573.29,558.44,607.5,699.7,762
西藏,871.45,1033.6,990.86,951.89,991.73,985.11,803,1028,1086
陕西省,132.39,142.9,164.27,130.19,118.52,124.12,120.6,107.4,141.6
甘肃省,123.59,124.2,129.29,139.1,138.91,112.63,100.9,108.7,133.4
青海省,392.31,340.1,331.11,400.52,290.77,349.39,273.6,282.5,355.7
宁夏,22.07,22.8,21.57,21.55,22.13,21.32,20.9,18.6,19.3
新疆,470.47,624.3,540.2,557.04,560.15,443.93,544.9,610.4,587
